user_id,name,skills
1,User_1,"['JavaScript', 'Database Management', 'DevOps', 'Web Development', 'Networking', 'Machine Learning']"
2,User_2,"['JavaScript', 'Java', 'Networking', 'Data Analysis', 'Web Development', 'Machine Learning']"
3,User_3,"['DevOps', 'Data Analysis', 'Java']"
4,User_4,"['Web Development', 'Networking', 'Python', 'Machine Learning']"
5,User_5,"['Java', 'UI/UX Design', 'Networking']"
6,User_6,"['Networking', 'UI/UX Design', 'Database Management']"
7,User_7,"['Python', 'Data Analysis', 'UI/UX Design', 'Networking']"
8,User_8,"['DevOps', 'JavaScript', 'Data Analysis', 'Database Management', 'UI/UX Design', 'Python', 'Machine Learning']"
9,User_9,"['Machine Learning', 'Java', 'DevOps', 'UI/UX Design', 'Database Management', 'JavaScript', 'Web Development']"
10,User_10,"['Java', 'UI/UX Design', 'Networking', 'JavaScript', 'DevOps']"
11,User_11,"['UI/UX Design', 'DevOps', 'Java', 'Data Analysis', 'Database Management', 'JavaScript', 'Machine Learning']"
12,User_12,"['Python', 'Data Analysis', 'Java', 'DevOps', 'UI/UX Design', 'Networking', 'Web Development']"
13,User_13,"['Data Analysis', 'Web Development', 'Python']"
14,User_14,"['Data Analysis', 'UI/UX Design', 'Database Management', 'Python']"
15,User_15,"['Python', 'Web Development', 'Java']"
16,User_16,"['Networking', 'Web Development', 'JavaScript', 'Python', 'Machine Learning']"
17,User_17,"['Machine Learning', 'DevOps', 'Java']"
18,User_18,"['Data Analysis', 'Networking', 'Machine Learning']"
19,User_19,"['Machine Learning', 'Database Management', 'UI/UX Design', 'Web Development', 'Data Analysis', 'Networking', 'Python']"
20,User_20,"['Database Management', 'DevOps', 'Java', 'Machine Learning', 'Python', 'Web Development']"
21,User_21,"['Networking', 'Java', 'JavaScript', 'Data Analysis', 'Web Development']"
22,User_22,"['Networking', 'Data Analysis', 'JavaScript', 'Python', 'Machine Learning', 'Web Development', 'DevOps']"
23,User_23,"['Networking', 'Web Development', 'JavaScript', 'Data Analysis']"
24,User_24,"['UI/UX Design', 'Machine Learning', 'Python', 'Web Development', 'Networking', 'DevOps']"
25,User_25,"['Database Management', 'Web Development', 'Python']"
26,User_26,"['Python', 'UI/UX Design', 'Data Analysis']"
27,User_27,"['Machine Learning', 'Java', 'Web Development']"
28,User_28,"['Web Development', 'Java', 'Machine Learning', 'Data Analysis', 'DevOps']"
29,User_29,"['UI/UX Design', 'JavaScript', 'Machine Learning', 'Python', 'Networking']"
30,User_30,"['JavaScript', 'UI/UX Design', 'Networking', 'DevOps', 'Java', 'Machine Learning', 'Data Analysis']"
31,User_31,"['JavaScript', 'DevOps', 'Data Analysis', 'UI/UX Design']"
32,User_32,"['Data Analysis', 'Database Management', 'JavaScript', 'Networking', 'Java']"
33,User_33,"['JavaScript', 'Networking', 'UI/UX Design', 'Python', 'Data Analysis', 'DevOps', 'Machine Learning']"
34,User_34,"['Networking', 'Java', 'JavaScript', 'Database Management', 'Data Analysis', 'UI/UX Design', 'Machine Learning']"
35,User_35,"['Database Management', 'Python', 'Java', 'Machine Learning', 'DevOps']"
36,User_36,"['Machine Learning', 'Web Development', 'Data Analysis', 'JavaScript', 'Java']"
37,User_37,"['Java', 'Data Analysis', 'Networking']"
38,User_38,"['JavaScript', 'Networking', 'Database Management']"
39,User_39,"['JavaScript', 'Java', 'Web Development', 'UI/UX Design', 'Data Analysis', 'Python', 'DevOps']"
40,User_40,"['Web Development', 'Networking', 'JavaScript', 'Database Management', 'Machine Learning']"
41,User_41,"['Web Development', 'Data Analysis', 'Python', 'Machine Learning', 'UI/UX Design']"
42,User_42,"['UI/UX Design', 'Machine Learning', 'Web Development', 'Networking', 'Data Analysis', 'JavaScript']"
43,User_43,"['Machine Learning', 'Python', 'UI/UX Design', 'Database Management', 'Java', 'DevOps', 'Data Analysis']"
44,User_44,"['JavaScript', 'Python', 'Database Management']"
45,User_45,"['Java', 'UI/UX Design', 'Python', 'JavaScript', 'DevOps', 'Networking']"
46,User_46,"['UI/UX Design', 'Python', 'Java', 'Machine Learning', 'DevOps', 'Database Management', 'Web Development']"
47,User_47,"['Database Management', 'Data Analysis', 'Machine Learning', 'JavaScript', 'Web Development', 'Networking', 'Python']"
48,User_48,"['Database Management', 'Networking', 'Python', 'Machine Learning', 'JavaScript']"
49,User_49,"['UI/UX Design', 'Data Analysis', 'Machine Learning', 'JavaScript', 'Python']"
50,User_50,"['Web Development', 'Python', 'UI/UX Design', 'Java', 'Networking', 'DevOps', 'Data Analysis']"
